TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2015,Laki-laki,TI,SMAN,IPS,TINGGI,MENENGAH,1.000-2.000,Sangat Baik,Cukup
2015,Laki-laki,TI,SMKN,TEKNIK,MENENGAH,MENENGAH,5.000-20.000,Sangat Baik,Cukup
2015,Perempuan,TI,SMAS,IPA,MENENGAH,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,TI,SMKS,TEKNIK,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,TI,MAN,IPA,MENENGAH,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
2015,Laki-laki,TI,SMAS,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,MENENGAH,DASAR,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,MENENGAH,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Biologi,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,Biologi,SMKN,PERTANIAN,MENENGAH,DASAR,100-500,Baik,Cumlaude
2015,Laki-laki,Biologi,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,MAS,IPS,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPS,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
2015,Laki-laki,PWK,MAN,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Cukup
2015,Laki-laki,PWK,SMAS,IPA,TINGGI,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Arsitektur,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,TINGGI,1.000-2.000,Cukup,Sangat Memuaskan
2015,Perempuan,Arsitektur,SMKN,TEKNIK,MENENGAH,DASAR,5.000-20.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,MAN,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,MAN,IPA,MENENGAH,TINGGI,1.000-2.000,Baik,Cukup
2015,Laki-laki,Biologi,SMAN,IPA,TINGGI,MENENGAH,500-1.000,Kurang,Cukup
2015,Laki-laki,Biologi,MAN,IPS,DASAR,DASAR,500-1.000,Baik,Cumlaude
2015,Laki-laki,Biologi,SMKN,PERTANIAN,MENENGAH,DASAR,2.000-5.000,Cukup,Cumlaude
2015,Laki-laki,Biologi,SMKN,EKONOMI,TINGGI,TINGGI,5.000-20.000,Baik,Cumlaude
2015,Laki-laki,Biologi,MAN,IPS,TINGGI,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2015,Laki-laki,Biologi,MAS,IPS,TINGGI,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2015,Laki-laki,Biologi,MAN,IPS,TINGGI,TINGGI,100-500,Baik,Cumlaude
2015,Laki-laki,Biologi,MAN,IPS,MENENGAH,DASAR,500-1.000,Baik,Cumlaude
2015,Perempuan,Biologi,SMAN,IPA,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
2015,Perempuan,Biologi,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,Fisika,MAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
2015,Laki-laki,Fisika,SMAN,IPA,DASAR,DASAR,5.000-20.000,Kurang,Cukup
2015,Perempuan,Fisika,SMKN,PERTANIAN,DASAR,DASAR,100-500,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Fisika,SMAN,IPA,MENENGAH,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,Fisika,MAN,IPA,MENENGAH,DASAR,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,Fisika,MAN,IPS,TINGGI,MENENGAH,100-500,Baik,Cumlaude
2015,Perempuan,Fisika,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,Fisika,MAN,IPS,DASAR,DASAR,500-1.000,Baik,Cumlaude
2015,Laki-laki,Fisika,MAN,IPS,MENENGAH,MENENGAH,1.000-2.000,Baik,Cumlaude
2015,Laki-laki,Kimia,SMAS,IPA,MENENGAH,TINGGI,5.000-20.000,Kurang,Cukup
2015,Perempuan,Kimia,SMAS,IPA,MENENGAH,MENENGAH,100-500,Kurang,Memuaskan
2015,Laki-laki,Kimia,MAN,IPA,DASAR,DASAR,500-1.000,Sangat Baik,Cukup
2015,Perempuan,Kimia,SMAS,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Kimia,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Matematika,SMAS,IPA,MENENGAH,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
