jenis_kelamin,prodi,smta,jurusan,ayah,ibu,pendapatan,UN,IPK
Laki-laki,TI,SMAN,IPS,TINGGI,MENENGAH,1.000-2.000,Sangat Baik,Cukup
Laki-laki,TI,SMKN,TEKNIK,MENENGAH,MENENGAH,5.000-20.000,Sangat Baik,Cukup
Perempuan,TI,SMAS,IPA,MENENGAH,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,TI,SMKS,TEKNIK,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Perempuan,TI,MAN,IPA,MENENGAH,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
Laki-laki,TI,SMAS,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,MENENGAH,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,Biologi,SMKN,PERTANIAN,MENENGAH,DASAR,100-500,Baik,Cumlaude
Perempuan,Matematika,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPS,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
Laki-laki,PWK,MAN,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Cukup
Laki-laki,PWK,SMAS,IPA,TINGGI,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,TINGGI,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,Arsitektur,SMKN,TEKNIK,MENENGAH,DASAR,5.000-20.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,MAN,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,TI,MAN,IPA,MENENGAH,TINGGI,1.000-2.000,Baik,Cukup
Laki-laki,Biologi,MAN,IPS,DASAR,DASAR,500-1.000,Baik,Cumlaude
Laki-laki,Biologi,SMKN,PERTANIAN,MENENGAH,DASAR,2.000-5.000,Cukup,Cumlaude
Laki-laki,Biologi,MAN,IPS,TINGGI,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
Laki-laki,Biologi,MAN,IPS,TINGGI,TINGGI,100-500,Baik,Cumlaude
Perempuan,Biologi,SMAN,IPA,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
Laki-laki,Fisika,MAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Fisika,SMAN,IPA,DASAR,DASAR,5.000-20.000,Kurang,Cukup
Perempuan,Fisika,SMKN,PERTANIAN,DASAR,DASAR,100-500,Sangat Baik,Sangat Memuaskan
Perempuan,Fisika,SMAN,IPA,MENENGAH,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,Fisika,MAN,IPA,MENENGAH,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,Fisika,MAN,IPS,TINGGI,MENENGAH,100-500,Baik,Cumlaude
Perempuan,Fisika,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,Fisika,MAN,IPS,DASAR,DASAR,500-1.000,Baik,Cumlaude
Laki-laki,Kimia,SMAS,IPA,MENENGAH,TINGGI,5.000-20.000,Kurang,Cukup
Perempuan,Kimia,SMAS,IPA,MENENGAH,MENENGAH,100-500,Kurang,Memuaskan
Perempuan,Kimia,SMAS,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,Matematika,SMAS,IPA,MENENGAH,DASAR,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,MENENGAH,DASAR,500-1.000,Kurang,Sangat Memuaskan
Laki-laki,Matematika,MAN,IPS,DASAR,DASAR,100-500,Kurang,Cumlaude
Laki-laki,Matematika,MAN,IPS,MENENGAH,DASAR,100-500,Kurang,Cumlaude
Perempuan,Peternakan,SMKS,TEKNIK,TINGGI,TINGGI,5.000-20.000,Baik,Cumlaude
Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
Laki-laki,Peternakan,MAS,IPS,MENENGAH,MENENGAH,100-500,Cukup,Sangat Memuaskan
Laki-laki,PWK,MAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Sangat Baik,Sangat Memuaskan
Perempuan,Kimia,SMKS,TEKNIK,MENENGAH,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMKN,TEKNIK,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Perempuan,Matematika,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPS,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,DASAR,MENENGAH,1.000-2.000,Cukup,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
Laki-laki,PWK,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,PWK,SMKS,TEKNIK,MENENGAH,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,TI,SMKS,TEKNIK,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,MAN,IPA,MENENGAH,DASAR,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,MAN,IPA,TINGGI,TINGGI,2.000-5.000,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,MENENGAH,100-500,Kurang,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,DASAR,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
