jenis_kelamin,prodi,smta,jurusan,ayah,ibu,pendapatan,UN,IPK
0,1,1,2,3,2,3,1,Cukup
0,1,3,5,2,2,5,1,Cukup
1,1,2,1,2,1,1,4,Sangat Memuaskan
1,1,4,5,1,1,2,2,Sangat Memuaskan
1,1,5,1,2,3,5,2,Sangat Memuaskan
0,1,1,1,3,2,3,3,Sangat Memuaskan
0,1,2,1,3,2,3,4,Sangat Memuaskan
0,1,1,1,3,3,4,4,Sangat Memuaskan
0,1,1,1,2,3,3,4,Sangat Memuaskan
0,2,3,4,2,1,1,2,Cumlaude
1,3,1,1,1,2,3,4,Sangat Memuaskan
0,4,1,1,1,1,1,4,Sangat Memuaskan
0,4,1,2,1,1,1,3,Sangat Memuaskan
0,5,5,1,3,3,3,4,Cukup
0,5,2,1,3,2,3,2,Sangat Memuaskan
0,6,1,1,3,2,3,4,Sangat Memuaskan
0,6,1,1,2,2,2,2,Sangat Memuaskan
0,6,1,1,3,2,4,1,Sangat Memuaskan
1,6,1,1,1,1,1,4,Sangat Memuaskan
1,6,1,1,3,2,4,1,Sangat Memuaskan
0,6,1,1,2,3,3,3,Sangat Memuaskan
1,6,3,5,2,1,5,4,Sangat Memuaskan
0,6,5,1,3,3,3,4,Sangat Memuaskan
0,1,5,1,2,3,3,2,Cukup
0,2,5,2,1,1,2,2,Cumlaude
0,2,3,4,2,1,4,3,Cumlaude
0,2,5,2,3,3,4,1,Cumlaude
0,2,5,2,3,3,1,2,Cumlaude
1,2,1,1,1,1,1,3,Sangat Memuaskan
0,7,5,1,3,2,4,2,Sangat Memuaskan
0,7,1,1,1,1,5,4,Cukup
1,7,3,4,1,1,1,1,Sangat Memuaskan
1,7,1,1,2,1,1,4,Sangat Memuaskan
1,7,5,1,2,1,1,2,Sangat Memuaskan
0,7,5,2,3,2,1,2,Cumlaude
1,7,1,1,2,2,3,2,Sangat Memuaskan
0,7,5,2,1,1,2,2,Cumlaude
0,8,2,1,2,3,5,4,Cukup
1,8,2,1,2,2,1,4,Memuaskan
1,8,2,1,3,3,3,4,Sangat Memuaskan
0,3,2,1,2,1,3,4,Sangat Memuaskan
1,3,1,1,1,1,1,4,Sangat Memuaskan
1,3,1,1,2,2,3,4,Sangat Memuaskan
1,3,1,1,2,1,2,4,Sangat Memuaskan
0,3,5,2,1,1,1,4,Cumlaude
0,3,5,2,2,1,1,4,Cumlaude
1,4,4,5,3,3,5,2,Cumlaude
1,4,1,1,2,3,4,1,Cumlaude
1,4,1,1,2,3,4,1,Cumlaude
1,4,1,1,2,3,4,1,Cumlaude
1,4,1,1,2,3,4,1,Cumlaude
0,4,6,2,2,2,1,3,Sangat Memuaskan
0,5,5,1,3,3,4,4,Sangat Memuaskan
1,5,1,1,3,3,4,1,Sangat Memuaskan
1,8,4,5,2,2,2,4,Sangat Memuaskan
1,3,1,1,1,2,3,4,Sangat Memuaskan
1,3,3,5,3,2,3,4,Sangat Memuaskan
1,3,1,1,1,1,1,4,Sangat Memuaskan
0,4,1,1,3,3,4,4,Sangat Memuaskan
0,4,1,1,1,1,2,4,Sangat Memuaskan
0,4,1,2,1,1,2,2,Sangat Memuaskan
0,4,1,1,3,3,4,2,Sangat Memuaskan
0,5,1,1,1,2,3,3,Sangat Memuaskan
1,5,1,1,2,2,4,2,Sangat Memuaskan
0,5,1,1,2,2,4,1,Sangat Memuaskan
0,5,1,1,1,1,1,2,Sangat Memuaskan
0,5,1,1,3,3,4,2,Sangat Memuaskan
1,5,4,5,2,2,2,4,Sangat Memuaskan
1,5,1,1,2,2,3,2,Sangat Memuaskan
0,1,4,5,3,3,3,2,Sangat Memuaskan
0,6,1,1,2,2,3,4,Sangat Memuaskan
0,6,1,1,1,1,1,4,Sangat Memuaskan
0,6,5,1,2,1,4,4,Sangat Memuaskan
0,6,1,1,3,3,3,4,Memuaskan
0,6,1,1,3,3,4,4,Sangat Memuaskan
0,6,5,1,3,3,4,4,Sangat Memuaskan
0,6,1,1,1,2,1,4,Sangat Memuaskan
0,6,3,5,1,1,1,4,Sangat Memuaskan
1,1,1,1,1,2,4,2,Sangat Memuaskan
1,1,1,1,3,3,4,2,Sangat Memuaskan
1,1,3,3,1,2,1,1,Sangat Memuaskan
1,2,1,1,1,1,2,2,Sangat Memuaskan
0,5,1,1,2,2,2,2,Sangat Memuaskan
1,5,1,1,3,2,4,1,Sangat Memuaskan
0,5,1,1,1,1,2,4,Sangat Memuaskan
1,5,1,1,2,1,3,2,Sangat Memuaskan
1,9,3,3,2,2,3,3,Sangat Memuaskan
0,6,1,1,2,1,1,4,Sangat Memuaskan
0,6,3,5,3,2,3,4,Sangat Memuaskan
0,6,3,5,3,2,3,1,Memuaskan
0,1,6,2,2,2,3,4,Cukup
0,1,1,2,2,2,3,4,Memuaskan
1,1,6,1,3,3,3,2,Sangat Memuaskan
0,1,1,1,2,1,3,4,Sangat Memuaskan
1,7,1,1,1,1,1,4,Sangat Memuaskan
1,8,1,1,2,2,2,2,Sangat Memuaskan
1,8,5,1,1,1,2,3,Sangat Memuaskan
1,8,4,5,2,2,3,2,Sangat Memuaskan
0,8,5,1,1,1,2,2,Sangat Memuaskan
0,4,1,1,2,1,5,2,Sangat Memuaskan
1,5,1,1,3,3,3,1,Sangat Memuaskan
0,5,1,1,3,2,4,2,Sangat Memuaskan
0,1,1,1,3,3,2,4,Sangat Memuaskan
1,2,2,1,1,1,1,2,Sangat Memuaskan
1,3,1,1,1,1,3,1,Sangat Memuaskan
0,4,1,2,2,2,2,1,Cukup
1,5,1,1,2,2,2,2,Sangat Memuaskan
1,3,1,1,2,1,5,2,Sangat Memuaskan
1,3,1,1,1,1,3,4,Sangat Memuaskan
