TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2015,Laki-laki,TI,SMAN,IPS,Tinggi,Menengah,1.000-2.000,Sangat Baik,Cukup
2015,Laki-laki,TI,SMKN,Teknik,Menengah,Menengah,5.000-20.000,Sangat Baik,Cukup
2015,Perempuan,TI,SMAS,IPA,Menengah,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,TI,SMKS,Teknik,Dasar,Dasar,500-1.000,Baik,Sangat Memuaskan
2015,Perempuan,TI,MAN,IPA,Menengah,Tinggi,5.000-20.000,Baik,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,Tinggi,Menengah,1.000-2.000,Cukup,Sangat Memuaskan
2015,Perempuan,TI,SMAN,IPA,Dasar,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,SMAS,IPA,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,Menengah,Dasar,2.000-5.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,SMAN,IPA,Menengah,Tinggi,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Biologi,SMAN,IPA,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,Biologi,SMKN,Pertanian,Menengah,Dasar,100-500,Baik,Cumlaude
2015,Laki-laki,Biologi,SMAN,IPA,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Dasar,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPA,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,MAS,IPS,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Laki-laki,Peternakan,SMAN,IPS,Dasar,Dasar,100-500,Cukup,Sangat Memuaskan
2015,Laki-laki,PWK,MAN,IPA,Tinggi,Tinggi,1.000-2.000,Kurang,Cukup
2015,Laki-laki,PWK,SMAS,IPA,Tinggi,Menengah,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Menengah,Menengah,500-1.000,Baik,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Tinggi,Menengah,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Arsitektur,SMAN,IPA,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,Arsitektur,SMAN,IPA,Tinggi,Menengah,2.000-5.000,Sangat Baik,Sangat Memuaskan
2015,Laki-laki,Arsitektur,SMAN,IPA,Menengah,Tinggi,1.000-2.000,Cukup,Sangat Memuaskan
2015,Perempuan,Arsitektur,SMKN,Teknik,Menengah,Dasar,5.000-20.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Arsitektur,MAN,IPA,Tinggi,Tinggi,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,TI,MAN,IPA,Menengah,Tinggi,1.000-2.000,Baik,Cukup
2015,Laki-laki,Biologi,SMAN,IPA,Tinggi,Menengah,500-1.000,Kurang,Cukup
2015,Laki-laki,Biologi,MAN,IPS,Dasar,Dasar,500-1.000,Baik,Cumlaude
2015,Laki-laki,Biologi,SMKN,Pertanian,Menengah,Dasar,2.000-5.000,Cukup,Cumlaude
2015,Laki-laki,Biologi,SMKN,Ekonomi,Tinggi,Tinggi,5.000-20.000,Baik,Cumlaude
2015,Laki-laki,Biologi,MAN,IPS,Tinggi,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2015,Laki-laki,Biologi,MAS,IPS,Tinggi,Tinggi,2.000-5.000,Sangat Baik,Cumlaude
2015,Laki-laki,Biologi,MAN,IPS,Tinggi,Tinggi,100-500,Baik,Cumlaude
2015,Laki-laki,Biologi,MAN,IPS,Menengah,Dasar,500-1.000,Baik,Cumlaude
2015,Perempuan,Biologi,SMAN,IPA,Dasar,Dasar,100-500,Cukup,Sangat Memuaskan
2015,Perempuan,Biologi,SMAN,IPA,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,Fisika,MAN,IPA,Tinggi,Menengah,2.000-5.000,Baik,Sangat Memuaskan
2015,Laki-laki,Fisika,SMAN,IPA,Dasar,Dasar,5.000-20.000,Kurang,Cukup
2015,Perempuan,Fisika,SMKN,Pertanian,Dasar,Dasar,100-500,Sangat Baik,Sangat Memuaskan
2015,Perempuan,Fisika,SMAN,IPA,Menengah,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,Fisika,MAN,IPA,Menengah,Dasar,100-500,Baik,Sangat Memuaskan
2015,Laki-laki,Fisika,MAN,IPS,Tinggi,Menengah,100-500,Baik,Cumlaude
2015,Perempuan,Fisika,SMAN,IPA,Menengah,Menengah,1.000-2.000,Baik,Sangat Memuaskan
2015,Laki-laki,Fisika,MAN,IPS,Dasar,Dasar,500-1.000,Baik,Cumlaude
2015,Laki-laki,Fisika,MAN,IPS,Menengah,Menengah,1.000-2.000,Baik,Cumlaude
2015,Laki-laki,Kimia,SMAS,IPA,Menengah,Tinggi,5.000-20.000,Kurang,Cukup
2015,Perempuan,Kimia,SMAS,IPA,Menengah,Menengah,100-500,Kurang,Memuaskan
2015,Laki-laki,Kimia,MAN,IPA,Dasar,Dasar,500-1.000,Sangat Baik,Cukup
2015,Perempuan,Kimia,SMAS,IPA,Tinggi,Tinggi,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Kimia,SMAN,IPA,Dasar,Dasar,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Kimia,SMAN,IPA,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Laki-laki,Matematika,SMAS,IPA,Menengah,Dasar,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Dasar,Dasar,100-500,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Menengah,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2015,Perempuan,Matematika,SMAN,IPA,Menengah,Dasar,500-1.000,Kurang,Sangat Memuaskan
